app_name,year_month,mean_gap_score
Nagad,2025-06,0.22352427350427348
Nagad,2025-07,0.2457293429342934
Nagad,2025-08,0.22324429223744294
Nagad,2025-09,0.24461669278996864
Nagad,2025-10,0.2430192913385827
Nagad,2025-11,0.09458350831146106
Nagad,2025-12,0.27475758873929007
Nagad,2026-01,0.24045928030303032
Nagad,2026-02,0.2640609589041096
Nagad,2026-03,0.2662454685099846
Nagad,2026-04,0.2434469298245614
Nagad,2026-05,0.26427059308072487
Nagad,2026-06,0.2964421568627451
Rocket,2025-06,0.1420315
Rocket,2025-07,0.21785646258503402
Rocket,2025-08,0.1594078431372549
Rocket,2025-09,0.19825162601626017
Rocket,2025-10,0.1896279850746269
Rocket,2025-11,0.1907848101265823
Rocket,2025-12,0.18685252100840335
Rocket,2026-01,0.17175108695652175
Rocket,2026-02,0.1924119318181818
Rocket,2026-03,0.2826823008849558
Rocket,2026-04,0.2944752747252747
Rocket,2026-05,0.19524698275862068
Rocket,2026-06,0.25890384615384615
bKash,2025-06,0.23554901356350183
bKash,2025-07,0.22804039228723405
bKash,2025-08,0.23854862508383634
bKash,2025-09,0.25475381355932203
bKash,2025-10,0.25719439330543936
bKash,2025-11,0.23551170289855072
bKash,2025-12,0.2630309327411167
bKash,2026-01,0.2524298482849604
bKash,2026-02,0.2566199857752489
bKash,2026-03,0.2740243772241993
bKash,2026-04,0.2441039408866995
bKash,2026-05,0.23202926162260712
bKash,2026-06,0.21979044943820225
