app_name,review_id,review_date,rating,review_text,review_text_clean,thumbs_up_count,app_version
Nagad,12e1f9e5-80a1-4721-b85e-9cf6d583d521,2026-06-06 11:05:50,5,ok ok,ok ok,0,1.1.112.01
Nagad,ca212978-65d8-4da2-b3bf-bf9a4725378f,2026-06-06 11:02:00,5,mdmilon,mdmyloan,0,1.1.112.01
Nagad,c359ea93-1703-448f-b1ea-26716f4f1e04,2026-06-06 10:40:02,5,nice app,nice app,0,unknown
Nagad,82740e7d-6c49-478c-a133-fc4cc9e39fe5,2026-06-06 05:06:10,5,nice app,nice app,0,unknown
Nagad,d7409937-9690-4909-9e7b-621955561360,2026-06-06 00:50:20,5,ভালো,good,1,1.1.113.02
Nagad,1b6d5047-5754-400f-af64-99fce4451d9c,2026-06-06 00:23:38,5,it's my Android phone,it's my android phone,0,unknown
Nagad,114a01cf-3cf6-43dc-b5c7-e24987d15930,2026-06-05 03:35:31,5,bulbul,bulbul,1,1.1.113.02
Nagad,160c35af-63e3-4a26-8fd5-309588373a6f,2026-06-05 01:38:57,5,nice,nice,0,1.1.107.03
Nagad,d98c1076-fc49-45a8-a50a-d30330747c98,2026-06-04 21:33:24,5,nice app,nice app,0,unknown
Nagad,c44edd84-d38d-4f35-a569-3f4aba65eb2c,2026-06-04 19:43:24,5,BABUL BD,babul bd,0,1.1.112.01
Nagad,5e040a39-e4d2-4c6d-8b29-08392e53ee52,2026-06-01 18:44:47,5,ভালো,good,0,1.1.109.09
Nagad,75884e8b-76ef-4966-91eb-de1cbf5a1cdd,2026-06-01 12:23:53,5,Jaman faccb0k,jaman appaccb0k,0,1.1.112.01
Nagad,43993948-2d9a-4464-b971-5129628c9d58,2026-05-31 21:01:25,5,md mahadi,md mahadi,0,1.1.112.01
Nagad,dc8b6008-3300-444e-acf2-c86fe9decece,2026-05-31 20:34:43,5,Excellent ❤️,excellent red_heart,0,1.1.109.09
Nagad,fcdf5cf6-6abd-4447-9abb-ad04f8c381c4,2026-05-31 07:28:14,5,mr shanto ok,mr shanto ok,0,unknown
Nagad,b22b251c-fcbb-4442-8220-9113e867f88c,2026-05-30 10:03:49,5,ভালো,good,0,1.1.93.02
Nagad,4076856a-08d5-4fc3-8819-12619969b5f6,2026-05-28 18:29:00,5,খুব ভালো,good,0,1.1.112.01
Nagad,a7d65ec2-8341-44fe-9f16-1fc2b80a3e37,2026-05-28 12:52:42,5,wallow,wallow,0,unknown
Nagad,664e7234-c4f1-4300-b415-81c88804d7b3,2026-05-28 12:15:46,5,I me nogad apps youse me in injoy,i me nogooddad apps youse me in injoy,1,1.1.112.01
Nagad,e25d7756-d6da-416c-919f-ca6fc79c4cc9,2026-05-27 22:05:43,5,nice,nice,0,unknown
Nagad,90514bd7-9721-4006-b356-e8d9bb4b2dcc,2026-05-27 20:08:14,5,nice,nice,0,unknown
Nagad,e6985a9a-a8da-460e-bc4f-7f86b18847ac,2026-05-27 17:25:10,5,good App,gooddood app,0,1.1.109.09
Nagad,79361600-36af-4799-81b6-cfa1be33b7bd,2026-05-27 01:53:14,5,nice,nice,0,unknown
Nagad,3bee5388-5263-4dc9-93e0-5e3210063ac2,2026-05-24 14:18:21,5,খুব ভালো 🥰,good smiling_face_with_hearts,2,1.1.112.01
Nagad,22d4309b-efbf-4fa2-9175-2a7664c03bd5,2026-05-24 13:51:45,5,nice,nice,0,1.1.107.03
