app_name,month,gap_score
Nagad,2025-06,0.2509370224719101
Nagad,2025-07,0.2518122056289489
Nagad,2025-08,0.22839765550239233
Nagad,2025-09,0.24765845004668532
Nagad,2025-10,0.2523427726675427
Nagad,2025-11,0.11890758877434135
Nagad,2025-12,0.272444552238806
Nagad,2026-01,0.2523495619524405
Nagad,2026-02,0.27602212086659067
Nagad,2026-03,0.2768042448614835
Nagad,2026-04,0.2589929188255613
Nagad,2026-05,0.2661580454096742
Nagad,2026-06,0.27167486338797814
Rocket,2025-06,0.1853062937062937
Rocket,2025-07,0.24319958677685952
Rocket,2025-08,0.19921706586826346
Rocket,2025-09,0.21131425
Rocket,2025-10,0.1935185185185185
Rocket,2025-11,0.18335557939914165
Rocket,2025-12,0.20956676646706587
Rocket,2026-01,0.20020036496350366
Rocket,2026-02,0.18708778625954198
Rocket,2026-03,0.2900487951807229
Rocket,2026-04,0.28835500000000003
Rocket,2026-05,0.22852999999999998
Rocket,2026-06,0.264678
bKash,2025-06,0.24227741013071896
bKash,2025-07,0.24211049769970724
bKash,2025-08,0.25149532849829354
bKash,2025-09,0.2616584932147871
bKash,2025-10,0.2721713996968166
bKash,2025-11,0.24307047572339383
bKash,2025-12,0.2728175735590488
bKash,2026-01,0.2730709527654421
bKash,2026-02,0.28101524223034735
bKash,2026-03,0.28143166293393057
bKash,2026-04,0.2587906072106262
bKash,2026-05,0.24563274011299435
bKash,2026-06,0.2649026645768025
