review_id,username,user_image,rating,review_text,thumbs_up_count,review_date,app_version,replied_at,reply_content,lang,app_name
12e1f9e5-80a1-4721-b85e-9cf6d583d521,Md Nobel Ahmed,https://play-lh.googleusercontent.com/a-/ALV-UjU4Jm_4OqUH9PNWG4G9k1zEaLnWNtv_d6_cr4cvjnAToRlhcb8h,5,ok ok,0,2026-06-06 11:05:50,1.1.112.01,,,bn,Nagad
ca212978-65d8-4da2-b3bf-bf9a4725378f,Md Milon,https://play-lh.googleusercontent.com/a-/ALV-UjWawXJGAxl9ikJhkM1eJvNVyPP1wvgGNn9fsF7qrYM5HBZJad8,5,mdmilon,0,2026-06-06 11:02:00,1.1.112.01,,,bn,Nagad
c359ea93-1703-448f-b1ea-26716f4f1e04,Prince Limon8787,https://play-lh.googleusercontent.com/a-/ALV-UjWK9wwfiqjPRaxPb7XAw9ghwB-iiIu8tYEIU7upRKEgrzaldBQK,5,nice app,0,2026-06-06 10:40:02,,,,bn,Nagad
82740e7d-6c49-478c-a133-fc4cc9e39fe5,K_S_Akash_ Vai_official,https://play-lh.googleusercontent.com/a-/ALV-UjV3EnLeT91Ii325I4txraewGIHrkF9tTJ1gv7VsrW3ik27bC6s,5,nice app,0,2026-06-06 05:06:10,,,,bn,Nagad
d7409937-9690-4909-9e7b-621955561360,Maidul Ishlam,https://play-lh.googleusercontent.com/a/ACg8ocL-mqVTk9l0CrKGPHoUnT5SskI1HwVcyCIpbZcLHVvCcoz8xA=mo,5,ভালো,1,2026-06-06 00:50:20,1.1.113.02,,,bn,Nagad
1b6d5047-5754-400f-af64-99fce4451d9c,একজন Google ব্যবহারকারী,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,5,it's my Android phone,0,2026-06-06 00:23:38,,,,bn,Nagad
6e80c9c9-3b2b-4ae2-be5e-745becbdd870,Sofikul Vhi,https://play-lh.googleusercontent.com/a-/ALV-UjXCO9FKqjn8jRR9osvrG_Dz6aebTkZ_QUTFCuTbJtuvo4jYLgUA,5,অনেক ভালো,0,2026-06-05 23:01:31,,,,bn,Nagad
a336b665-99c1-4f31-9205-8163cffd2602,Md rãjû,https://play-lh.googleusercontent.com/a-/ALV-UjW6dcB-d_cmfT1BR433PTXRW_OWxMLRw0Badk3PnsAuqWeml4cg,5,আরও উন্নত মানের হোলে ভালো হয়,1,2026-06-05 20:51:50,1.1.112.01,,,bn,Nagad
114a01cf-3cf6-43dc-b5c7-e24987d15930,Bulbulislam Eslam,https://play-lh.googleusercontent.com/a-/ALV-UjXC-vCgwxg5NUgBvS-d0U9Os4YLnaA6iQiJMqIUvxAEXQd6PUY,5,bulbul,1,2026-06-05 03:35:31,1.1.113.02,,,bn,Nagad
160c35af-63e3-4a26-8fd5-309588373a6f,mdsohag biswas,https://play-lh.googleusercontent.com/a/ACg8ocKoxeR9kFbkLbJwUnO-QqBRAKelxywX_QGokq2aQSzC7deeqmY=mo,5,nice,0,2026-06-05 01:38:57,1.1.107.03,,,bn,Nagad
